EmployeeID,FirstName,LastName,Gender,DateOfBirth,HireDate,DepartmentID
101,Ali,Khan,Male,1990-05-12,2015-06-01,1
102,Sara,Ahmed,Female,1988-11-23,2016-03-10,2
103,Omar,Zaid,Male,1992-07-18,2018-01-25,3
104,Nadia,Farooq,Female,1985-03-14,2019-08-15,4
105,Hassan,Raza,Male,1980-09-30,2010-09-01,1
106,Ayesha,Malik,Female,1991-01-11,2017-05-20,5
107,Bilal,Sheikh,Male,1983-12-19,2012-11-01,4
108,Zara,Siddiqui,Female,1995-02-02,2020-02-10,2
109,Imran,Ali,Male,1998-04-22,2021-03-15,3
110,Fatima,Khalid,Female,1994-06-30,2022-06-01,5
111,Tariq,Iqbal,Male,1989-10-10,2013-04-23,1
112,Hina,Rehman,Female,1993-09-21,2014-10-30,2
113,Junaid,Sharif,Male,1996-12-12,2017-07-01,3
114,Lubna,Hanif,Female,1987-08-18,2011-02-15,4
115,Kamran,Javed,Male,1982-04-05,2009-12-20,5
116,Mehak,Saeed,Female,1999-11-11,2023-01-01,1
117,Usman,Qureshi,Male,1997-03-27,2022-04-10,2
118,Farah,Amir,Female,1990-07-07,2019-09-09,3
119,Rizwan,Latif,Male,1986-06-15,2016-06-06,4
120,Noor,Ansari,Female,1992-01-01,2020-10-10,5
